unix,low,high,open,close,volume,datetime,vol_fiat
1635984000,1.733,1.8132,1.7774,1.7349,5267531.76,2021-11-04,9138640.850424001
1635897600,1.6845,1.8516,1.7029,1.778,23488560.39,2021-11-03,41762660.37342
1635811200,1.6686,1.7225,1.681,1.7027,7193204.11,2021-11-02,12247868.638097001
1635724800,1.6562,1.7451,1.701,1.6813,8043775.96,2021-11-01,13524000.521548
1635638400,1.6627,1.753,1.6921,1.7019,9562731.35,2021-10-31,16274812.484565
1635552000,1.665,1.7446,1.742,1.6925,6340954.99,2021-10-30,10732066.320574999
1635465600,1.6943,1.7618,1.7018,1.74,15184590.4,2021-10-29,26421187.296
1635379200,1.644,1.778,1.6492,1.7014,22650116.11,2021-10-28,38536907.549554
1635292800,1.5911,1.8579,1.8436,1.6484,25070692.69,2021-10-27,41326529.83019601
1635206400,1.8304,1.899,1.8477,1.8433,8593242.36,2021-10-26,15839923.642187998
1635120000,1.8153,1.8751,1.8217,1.8476,6751237.81,2021-10-25,12473586.977756
1635033600,1.8002,1.864,1.864,1.822,5532403.29,2021-10-24,10080038.79438
1634947200,1.8341,1.8676,1.8517,1.8622,4756468.13,2021-10-23,8857494.951686
1634860800,1.8277,1.9,1.8372,1.8517,7878750.79,2021-10-22,14589082.837842999
1634774400,1.8316,1.9729,1.8773,1.8383,16579179.28,2021-10-21,30477505.270424
1634688000,1.796,1.8982,1.8144,1.8771,8964581.47,2021-10-20,16827415.877337
1634601600,1.798,1.8517,1.8334,1.8134,5286848.67,2021-10-19,9587171.378177999
1634515200,1.815,1.8723,1.8573,1.8338,6233281.42,2021-10-18,11430591.467996001
1634428800,1.8,1.876,1.8672,1.8571,5813629.14,2021-10-17,10796490.675894
1634342400,1.8602,1.9334,1.9106,1.8675,4778093.36,2021-10-16,8923089.3498
1634256000,1.8316,1.9328,1.8741,1.9085,11081356.0,2021-10-15,21148767.926000003
1634169600,1.8558,1.9163,1.887,1.8743,4931843.08,2021-10-14,9243753.484844001
1634083200,1.8019,1.8967,1.8355,1.8878,7246262.59,2021-10-13,13679494.517401999
