unix,low,high,open,close,volume,datetime,vol_fiat
1637539200,0.1953,0.201,0.2007,0.198,5040515.5,2021-11-22,998022.069
1637452800,0.2004,0.2074,0.2074,0.2009,13486463.8,2021-11-21,2709430.57742
1637366400,0.2005,0.2095,0.2074,0.2072,8197817.9,2021-11-20,1698587.86888
1637280000,0.1911,0.2103,0.1957,0.2071,16714327.3,2021-11-19,3461537.1838300005
1637193600,0.19,0.2135,0.21,0.1956,26614956.1,2021-11-18,5205885.41316
1637107200,0.2034,0.2135,0.2107,0.2101,17592531.4,2021-11-17,3696190.8471399997
1637020800,0.197,0.2261,0.226,0.2099,35247347.1,2021-11-16,7398418.15629
1636934400,0.2251,0.2318,0.2301,0.2262,12921156.0,2021-11-15,2922765.4872000003
1636848000,0.2276,0.2379,0.229,0.23,24688640.0,2021-11-14,5678387.2
1636761600,0.2225,0.2296,0.2268,0.2287,16251498.3,2021-11-13,3716717.66121
1636675200,0.2176,0.2349,0.2278,0.2267,29496152.0,2021-11-12,6686777.6584
1636588800,0.2207,0.2369,0.2225,0.228,32045618.0,2021-11-11,7306400.904
1636502400,0.206,0.24,0.2359,0.2226,45296824.4,2021-11-10,10083073.11144
1636416000,0.234,0.2505,0.2435,0.236,35515370.6,2021-11-09,8381627.4616
1636329600,0.2288,0.2567,0.2306,0.2435,55095425.6,2021-11-08,13415736.1336
1636243200,0.224,0.2335,0.2269,0.2304,18212620.0,2021-11-07,4196187.648
1636156800,0.2165,0.2317,0.2259,0.2269,19673862.6,2021-11-06,4463999.42394
1636070400,0.223,0.2347,0.2278,0.2259,33291489.3,2021-11-05,7520547.43287
1635984000,0.2203,0.2333,0.2318,0.2279,31775602.1,2021-11-04,7241659.71859
1635897600,0.2268,0.2395,0.2371,0.2317,41549643.2,2021-11-03,9627052.32944
1635811200,0.2302,0.2424,0.2342,0.237,39736818.5,2021-11-02,9417625.9845
1635724800,0.2283,0.248,0.2423,0.2342,65427955.9,2021-11-01,15323227.27178
1635638400,0.2185,0.2466,0.2328,0.2424,71518083.7,2021-10-31,17335983.48888
1635552000,0.2232,0.2552,0.2492,0.2329,66191035.4,2021-10-30,15415892.14466
1635465600,0.2367,0.2629,0.2567,0.2492,117699105.1,2021-10-29,29330616.99092
1635379200,0.2007,0.2928,0.2055,0.2568,301759424.4,2021-10-28,77491820.18591999
1635292800,0.19,0.2273,0.2207,0.2054,119847994.5,2021-10-27,24616778.0703
1635206400,0.2173,0.2361,0.2283,0.2207,56296500.2,2021-10-26,12424637.59414
1635120000,0.2221,0.2408,0.2367,0.2282,75516687.7,2021-10-25,17232908.13314
1635033600,0.2113,0.2431,0.2159,0.237,111301914.2,2021-10-24,26378553.6654
1634947200,0.2073,0.2183,0.21,0.2159,36256065.8,2021-10-23,7827684.6062199995
1634860800,0.202,0.2177,0.2086,0.2099,44568113.4,2021-10-22,9354847.00266
1634774400,0.2065,0.2215,0.2182,0.2085,45194308.5,2021-10-21,9423013.32225
1634688000,0.2078,0.2245,0.2107,0.2183,36944073.8,2021-10-20,8064891.310539999
1634601600,0.2062,0.2189,0.2131,0.2107,35967844.1,2021-10-19,7578424.75187
1634515200,0.2039,0.2354,0.2048,0.213,94236704.8,2021-10-18,20072418.1224
1634428800,0.1938,0.2082,0.2033,0.2049,28167687.6,2021-10-17,5771559.18924
1634342400,0.2013,0.2112,0.2014,0.2034,27409866.8,2021-10-16,5575166.90712
1634256000,0.1922,0.2097,0.2004,0.2016,43474011.0,2021-10-15,8764360.6176
1634169600,0.1992,0.2071,0.2006,0.2003,24583640.6,2021-10-14,4924103.212180001
1634083200,0.1911,0.2018,0.1959,0.2005,23477427.3,2021-10-13,4707224.17365
1633996800,0.1873,0.2005,0.2002,0.196,22597578.5,2021-10-12,4429125.386
1633910400,0.1946,0.2069,0.1978,0.2001,25915267.8,2021-10-11,5185645.0867800005
1633824000,0.1957,0.2147,0.213,0.1977,19839750.4,2021-10-10,3922318.6540799993
1633737600,0.2084,0.2182,0.2111,0.2131,38487879.9,2021-10-09,8201767.20669
1633651200,0.2086,0.22,0.2096,0.2108,32026044.7,2021-10-08,6751090.222759999
1633564800,0.2037,0.2219,0.2196,0.2098,32876880.4,2021-10-07,6897569.507919999
1633478400,0.2098,0.2348,0.2172,0.2195,60043992.7,2021-10-06,13179656.397650002
1633392000,0.2007,0.2316,0.2077,0.217,47970067.3,2021-10-05,10409504.6041
1633305600,0.1828,0.2142,0.1906,0.2082,54608577.9,2021-10-04,11369505.918779999
1633219200,0.1858,0.1951,0.1884,0.1909,14096300.8,2021-10-03,2690983.82272
1633132800,0.1856,0.1937,0.1923,0.1883,14782868.4,2021-10-02,2783614.11972
1633046400,0.1744,0.1943,0.1766,0.1923,26573879.8,2021-10-01,5110157.08554
1632960000,0.1704,0.1777,0.1712,0.1766,7416267.7,2021-09-30,1309712.8758200002
1632873600,0.1667,0.1754,0.1682,0.1713,7669469.3,2021-09-29,1313780.09109
1632787200,0.168,0.1735,0.1708,0.1682,10713647.9,2021-09-28,1802035.57678
1632700800,0.1708,0.1786,0.1745,0.1708,8743591.5,2021-09-27,1493405.4282
1632614400,0.166,0.1785,0.1777,0.175,16682018.8,2021-09-26,2919353.29
1632528000,0.1747,0.1816,0.1787,0.1779,17294319.8,2021-09-25,3076659.49242
1632441600,0.168,0.195,0.1914,0.1787,28230889.7,2021-09-24,5044859.98939
1632355200,0.1858,0.1943,0.1921,0.1914,21424510.3,2021-09-23,4100651.2714199997
1632268800,0.1706,0.197,0.1714,0.1922,38934329.9,2021-09-22,7483178.20678
1632182400,0.1686,0.1862,0.1779,0.1713,36440698.6,2021-09-21,6242291.67018
1632096000,0.17,0.1991,0.199,0.1779,33520302.0,2021-09-20,5963261.7258
1632009600,0.197,0.2061,0.206,0.1988,6859155.0,2021-09-19,1363600.014
1631923200,0.2031,0.2112,0.2046,0.2061,8603890.7,2021-09-18,1773261.8732699999
1631836800,0.2017,0.2209,0.2056,0.2047,52560387.0,2021-09-17,10759111.218899999
1631750400,0.1981,0.21,0.2099,0.2058,15878703.1,2021-09-16,3267837.09798
1631664000,0.2025,0.21,0.204,0.2095,10593409.2,2021-09-15,2219319.2273999997
1631577600,0.198,0.2045,0.1998,0.204,13358685.2,2021-09-14,2725171.7808
1631491200,0.1936,0.2135,0.2121,0.1998,38283835.3,2021-09-13,7649110.29294
1631404800,0.2025,0.2159,0.2041,0.2119,26748455.9,2021-09-12,5667997.80521
1631318400,0.2014,0.2101,0.2035,0.2042,16511236.0,2021-09-11,3371594.3912
1631232000,0.1995,0.2213,0.2137,0.2034,31622519.8,2021-09-10,6432020.52732
1631145600,0.2106,0.2198,0.2176,0.2138,31313191.9,2021-09-09,6694760.428219999
1631059200,0.1975,0.2227,0.216,0.217,47493697.2,2021-09-08,10306132.2924
1630972800,0.1802,0.2622,0.2599,0.2148,54475984.2,2021-09-07,11701441.40616
1630886400,0.2531,0.2697,0.2644,0.2604,20387858.8,2021-09-06,5308998.431520001
1630800000,0.2493,0.2654,0.252,0.2646,17988312.3,2021-09-05,4759707.43458
1630713600,0.2467,0.26,0.2492,0.2521,15648216.0,2021-09-04,3944915.2536
1630627200,0.2421,0.2564,0.2483,0.2492,16782915.9,2021-09-03,4182302.64228
1630540800,0.2464,0.2614,0.2486,0.2481,28020261.8,2021-09-02,6951826.95258
