unix,low,high,open,close,volume,datetime,vol_fiat
1637539200,35.0,37.474,37.277,35.737,64726.835,2021-11-22,2313142.902395
1637452800,36.113,38.7,37.397,37.242,72341.158,2021-11-21,2694129.4062359994
1637366400,35.425,37.4,36.641,37.4,65400.206,2021-11-20,2445967.7043999997
1637280000,33.848,37.457,34.388,36.631,145818.538,2021-11-19,5341478.865478
1637193600,33.066,38.215,37.84,34.385,189081.514,2021-11-18,6501567.85889
1637107200,34.282,37.836,36.123,37.797,156823.166,2021-11-17,5927445.205301999
1637020800,33.63,39.357,39.357,36.134,377358.051,2021-11-16,13635455.814833999
1636934400,39.233,41.476,40.596,39.386,99746.39,2021-11-15,3928611.31654
1636848000,39.445,41.868,41.26,40.6,77248.773,2021-11-14,3136300.1838
1636761600,39.205,41.667,40.166,41.239,76831.203,2021-11-13,3168441.9805169995
1636675200,38.541,41.72,41.484,40.151,155593.626,2021-11-12,6247239.677526
1636588800,39.708,43.181,40.734,41.485,131545.791,2021-11-11,5457177.139634999
1636502400,37.1,45.0,43.785,40.796,233230.742,2021-11-10,9514881.350632
1636416000,43.552,46.08,46.0,43.738,125335.374,2021-11-09,5481918.588012
1636329600,44.734,46.497,45.264,46.082,95064.501,2021-11-08,4380762.335082
1636243200,44.508,46.323,45.066,45.208,70224.711,2021-11-07,3174718.7348879995
1636156800,42.53,45.485,44.835,45.112,98968.356,2021-11-06,4464660.475872
1636070400,43.869,46.742,46.691,44.875,119840.512,2021-11-05,5377842.976
1635984000,44.971,47.741,46.022,46.713,144835.477,2021-11-04,6765699.637101001
1635897600,42.44,47.078,44.666,45.988,222286.582,2021-11-03,10222515.333015999
1635811200,41.417,46.0,43.12,44.609,250854.307,2021-11-02,11190359.780963
1635724800,36.2,44.843,37.046,43.142,324642.236,2021-11-01,14005715.345512
1635638400,35.552,37.523,36.995,37.036,128036.834,2021-10-31,4741972.184024001
1635552000,36.471,38.314,38.233,36.996,72043.369,2021-10-30,2665316.4795240005
1635465600,35.617,38.357,35.807,38.148,156646.123,2021-10-29,5975736.300204
1635379200,34.4,37.211,34.895,35.832,198801.753,2021-10-28,7123464.413496
1635292800,33.54,39.418,38.793,34.873,253393.349,2021-10-27,8836586.259676998
1635206400,37.355,39.766,38.39,38.743,183161.407,2021-10-26,7096222.391401
1635120000,36.18,38.573,36.373,38.354,123940.984,2021-10-25,4753632.500336
1635033600,35.471,37.965,37.791,36.354,144704.495,2021-10-24,5260587.21123
1634947200,37.0,38.475,37.422,37.794,141872.932,2021-10-23,5361945.592007999
1634860800,36.75,39.878,36.862,37.387,301668.516,2021-10-22,11278480.807692
1634774400,35.994,39.023,38.077,36.834,305290.513,2021-10-21,11245070.755842
1634688000,35.283,38.747,35.519,38.032,325361.726,2021-10-20,12374157.163232
1634601600,34.351,35.748,35.447,35.509,161698.319,2021-10-19,5741745.609371
1634515200,34.71,37.2,36.233,35.463,171371.92,2021-10-18,6077362.398960001
1634428800,34.065,36.732,35.788,36.261,130590.167,2021-10-17,4735330.045587
1634342400,35.4,38.498,37.246,35.793,245872.915,2021-10-16,8800529.246595
