unix,low,high,open,close,volume,datetime,vol_fiat
1635984000,3885.55,3971.78,3967.79,3930.01,4513.83172973,2021-11-04,17739403.836156197
1635897600,3850.68,4025.0,3968.41,3965.67,14310.5961318,2021-11-03,56751101.76199531
1635811200,3697.27,3976.25,3727.42,3968.08,15677.35459676,2021-11-02,62208997.22831142
1635724800,3594.0,3789.0,3712.11,3725.72,12551.65167034,2021-11-01,46763939.66121914
1635638400,3610.51,3802.48,3743.03,3711.78,9609.85958148,2021-10-31,35669684.59734584
1635552000,3670.0,3834.15,3821.99,3742.51,9893.96145988,2021-10-30,37028249.7032155
1635465600,3653.72,3866.54,3671.21,3821.69,20406.79256649,2021-10-29,77988435.08342917
1635379200,3359.03,3678.0,3384.09,3670.59,18018.65999893,2021-10-28,66139113.20547248
1635292800,3377.18,3711.54,3563.48,3384.07,21672.11135534,2021-10-27,73339941.87426543
1635206400,3529.19,3703.0,3637.88,3562.33,12463.60976999,2021-10-26,44399490.99192847
1635120000,3494.52,3650.7,3508.04,3636.57,11714.49329774,2021-10-25,42600574.89176235
1635033600,3406.99,3599.29,3585.6,3508.04,10228.65181428,2021-10-24,35882519.71056681
1634947200,3386.26,3587.3,3411.04,3585.01,9946.95453018,2021-10-23,35659931.46024061
1634860800,3344.44,3582.87,3485.31,3412.06,15742.94520186,2021-10-22,53715873.60545843
1634774400,3431.74,3755.95,3567.71,3486.74,30032.15286494,2021-10-21,104714308.68030089
1634688000,3285.0,3573.14,3331.97,3567.61,20486.33191636,2021-10-20,73087242.6081251
1634601600,3213.03,3340.4,3226.58,3331.45,14036.53932215,2021-10-19,46762028.92477661
1634515200,3170.0,3346.95,3309.64,3226.9,15298.6905653,2021-10-18,49367344.585166566
1634428800,3133.44,3356.86,3283.13,3308.24,9530.71796229,2021-10-17,31529902.39156627
1634342400,3260.28,3407.97,3328.09,3283.04,9781.323647,2021-10-16,32112476.786046878
1634256000,3210.0,3356.49,3269.95,3327.9,17229.95890995,2021-10-15,57339580.25642261
1634169600,3093.4,3298.0,3110.57,3269.0,18960.6432403,2021-10-14,61982342.7525407
1634083200,2953.0,3114.4,3026.58,3109.74,13594.8805474,2021-10-13,42276543.83347167
1633996800,2951.0,3076.01,3065.97,3027.87,14462.44774846,2021-10-12,43790411.66412958
1633910400,2916.48,3130.0,2952.2,3065.46,12752.86195975,2021-10-11,39093388.22313523
1633824000,2946.86,3110.29,3086.65,2955.23,8669.1431408,2021-10-10,25619311.883986387
1633737600,3059.06,3140.0,3081.68,3086.78,9048.05303666,2021-10-09,27929349.152501356
1633651200,3053.71,3175.0,3099.5,3077.23,12862.54480984,2021-10-08,39581008.76518394
1633564800,2997.0,3158.43,3088.37,3099.32,15930.12416743,2021-10-07,49372552.43459915
1633478400,2893.97,3145.0,3032.24,3087.62,24721.06133062,2021-10-06,76329243.38564892
