unix,low,high,open,close,volume,datetime,vol_fiat
1637539200,191.431,206.04,204.941,193.575,26103.104,2021-11-22,5052908.356799999
1637452800,187.09,208.837,193.822,204.778,70851.107,2021-11-21,14508747.989246
1637366400,182.994,196.416,191.214,193.822,41807.918,2021-11-20,8103294.282596
1637280000,166.744,195.084,171.961,191.126,93309.176,2021-11-19,17833809.572176002
1637193600,164.287,196.907,193.711,171.899,136767.772,2021-11-18,23510243.239028
1637107200,185.738,196.764,193.7,193.521,87562.198,2021-11-17,16945124.119158
1637020800,188.426,209.763,209.763,193.684,120302.819,2021-11-16,23300731.195196
1636934400,206.485,215.282,208.717,209.721,55210.076,2021-11-15,11578712.348796
1636848000,201.842,211.91,211.615,208.832,43091.85,2021-11-14,8998957.2192
1636761600,196.646,211.925,199.742,211.709,59254.076,2021-11-13,12544621.175884001
1636675200,193.271,209.0,204.149,199.667,67577.057,2021-11-12,13492908.240019001
1636588800,199.913,215.0,203.097,204.1,56217.868,2021-11-11,11474066.8588
1636502400,189.5,215.184,206.238,203.283,127592.694,2021-11-10,25937425.614402
1636416000,205.0,218.4,214.259,206.283,63317.194,2021-11-09,13061260.729902
1636329600,208.278,218.633,215.983,214.363,65822.923,2021-11-08,14109999.243049
1636243200,212.719,224.275,224.059,216.074,59634.553,2021-11-07,12885476.404922001
1636156800,203.5,225.425,204.534,224.08,108845.155,2021-11-06,24390022.3324
1636070400,200.193,215.2,214.206,204.543,82966.209,2021-11-05,16970157.287487
1635984000,203.135,217.228,209.695,214.085,113146.885,2021-11-04,24223050.875225
1635897600,186.558,212.789,190.758,209.58,175598.874,2021-11-03,36802012.01292001
1635811200,173.5,192.05,175.987,191.069,90642.899,2021-11-02,17319048.069031
1635724800,171.342,183.046,175.369,175.698,100230.004,2021-11-01,17610211.242792
1635638400,160.727,177.544,169.486,175.331,102384.574,2021-10-31,17951189.743993998
1635552000,162.215,173.466,173.257,169.481,57486.843,2021-10-30,9742927.638482999
1635465600,166.628,177.314,167.301,173.339,101147.309,2021-10-29,17532773.394750997
1635379200,156.833,172.579,159.291,166.891,174560.679,2021-10-28,29132606.278989
1635292800,152.4,177.17,172.384,158.962,213824.488,2021-10-27,33989968.261456
1635206400,169.561,184.5,180.65,172.328,102536.391,2021-10-26,17669891.188248
1635120000,170.259,188.692,173.898,180.433,142039.842,2021-10-25,25628674.811586
1635033600,159.369,176.097,170.056,173.817,128161.813,2021-10-24,22276701.850221
1634947200,165.0,176.737,168.623,170.015,87930.279,2021-10-23,14949466.384184998
1634860800,161.73,184.56,163.859,168.563,229483.798,2021-10-22,38682477.442274
1634774400,151.503,166.773,151.518,163.733,242456.153,2021-10-21,39698073.299149
1634688000,133.2,151.6,134.009,151.5,119628.879,2021-10-20,18123775.1685
1634601600,131.663,136.8,135.389,133.901,44406.133,2021-10-19,5946025.614833001
1634515200,133.534,140.089,137.794,135.312,49344.766,2021-10-18,6676938.976992001
1634428800,132.0,143.45,135.142,137.7,77047.993,2021-10-17,10609508.6361
1634342400,134.239,141.6,140.344,135.058,62883.975,2021-10-16,8492983.89555
1634256000,126.539,141.317,129.283,140.341,136851.791,2021-10-15,19205917.200731
1634169600,127.0,134.13,127.718,129.376,81292.109,2021-10-14,10517247.893984
1634083200,124.8,134.91,132.094,127.6,74681.753,2021-10-13,9529391.682799999
1633996800,119.382,133.367,125.384,132.218,119915.311,2021-10-12,15854962.589798
1633910400,121.52,133.12,127.345,125.51,83569.234,2021-10-11,10488774.55934
1633824000,126.171,136.733,135.213,127.66,56188.695,2021-10-10,7173048.8037
1633737600,133.2,139.63,137.316,135.367,78067.291,2021-10-09,10567734.980796998
1633651200,131.852,145.986,133.612,137.215,141845.58,2021-10-08,19463341.2597
1633564800,129.907,139.595,132.728,133.326,133662.034,2021-10-07,17820624.345084
1633478400,130.0,142.651,141.929,132.818,204734.171,2021-10-06,27192383.123878002
1633392000,137.8,146.569,143.828,141.888,111018.414,2021-10-05,15752180.725632
1633305600,139.563,148.955,148.797,143.826,136473.797,2021-10-04,19628480.327322
1633219200,142.617,153.12,145.636,148.848,162065.476,2021-10-03,24123121.971648
1633132800,134.695,150.84,139.204,145.424,177818.189,2021-10-02,25859032.317136005
1633046400,119.435,142.261,122.27,139.412,245096.558,2021-10-01,34169401.343896
1632960000,115.488,123.391,116.698,122.139,144656.776,2021-09-30,17668233.963864002
1632873600,113.15,120.289,113.158,116.713,130742.868,2021-09-29,15259392.352884
1632787200,109.79,119.314,116.615,113.235,156570.397,2021-09-28,17729248.904295
1632700800,114.124,127.345,115.659,116.705,196013.091,2021-09-27,22875707.785155
1632614400,106.783,120.137,116.231,115.709,164999.095,2021-09-26,19091880.283355
1632528000,113.955,123.103,119.113,116.237,109945.278,2021-09-25,12779709.278886
1632441600,109.09,128.926,127.811,118.894,348943.876,2021-09-24,41487333.193144
1632355200,121.495,130.285,126.825,127.761,215688.737,2021-09-23,27556608.727856997
1632268800,104.238,129.664,105.911,126.78,398596.527,2021-09-22,50534067.69306
1632182400,99.0,123.531,113.064,106.027,491232.279,2021-09-21,52083884.845533
1632096000,111.019,130.824,130.408,113.064,361646.032,2021-09-20,40889146.962048
1632009600,128.675,146.008,144.475,130.429,143994.834,2021-09-19,18781102.203786
1631923200,123.075,146.519,126.158,144.492,246488.058,2021-09-18,35615552.476536
